id,namespace,meta,proj,release,project_ref,eonid,department,tai_system
github|finos|morphir-rust,github,finos,morphir-rust,main,github/finos/morphir-rust,FINOS-10000,FINOS OSS,MORPHIR_RUST
github|finos|legend,github,finos,legend,master,github/finos/legend,FINOS-10001,goldman-sachs,LEGEND
github|finos|rune-python-generator,github,finos,rune-python-generator,main,github/finos/rune-python-generator,FINOS-10002,FINOS OSS,RUNE_PYTHON_GENERATOR
github|finos|architecture-as-code,github,finos,architecture-as-code,main,github/finos/architecture-as-code,FINOS-10003,architecture,ARCHITECTURE_AS_CODE
github|finos|legend-engine,github,finos,legend-engine,master,github/finos/legend-engine,FINOS-10004,legend,LEGEND_ENGINE
github|finos|fluxnova-modeler,github,finos,fluxnova-modeler,develop,github/finos/fluxnova-modeler,FINOS-10005,FINOS OSS,FLUXNOVA_MODELER
github|finos|morphir-scala,github,finos,morphir-scala,main,github/finos/morphir-scala,FINOS-10006,FINOS OSS,MORPHIR_SCALA
github|finos|OpenMAMA,github,finos,OpenMAMA,next,github/finos/OpenMAMA,FINOS-10007,fintech,OPENMAMA
github|finos|morphir-examples,github,finos,morphir-examples,main,github/finos/morphir-examples,FINOS-10008,FINOS OSS,MORPHIR_EXAMPLES
github|finos|fluxnova-feel-scala,github,finos,fluxnova-feel-scala,main,github/finos/fluxnova-feel-scala,FINOS-10009,FINOS OSS,FLUXNOVA_FEEL_SCALA
github|finos|fluxnova-examples,github,finos,fluxnova-examples,main,github/finos/fluxnova-examples,FINOS-10010,FINOS OSS,FLUXNOVA_EXAMPLES
github|finos|opengris-scaler,github,finos,opengris-scaler,main,github/finos/opengris-scaler,FINOS-10011,FINOS OSS,OPENGRIS_SCALER
github|finos|vuu,github,finos,vuu,main,github/finos/vuu,FINOS-10012,grids,VUU
github|finos|legend-studio,github,finos,legend-studio,master,github/finos/legend-studio,FINOS-10013,data-modeling,LEGEND_STUDIO
github|finos|common-domain-model,github,finos,common-domain-model,master,github/finos/common-domain-model,FINOS-10014,FINOS OSS,COMMON_DOMAIN_MODEL
github|finos|rune-dsl,github,finos,rune-dsl,main,github/finos/rune-dsl,FINOS-10015,FINOS OSS,RUNE_DSL
